loss,val_loss,accuracy,val_accuracy,coarse,fine,exact,test_coarse_accuracy,test_fine_accuracy,test_exact_accuracy,mlp_classifer
6.586597019898976,6.158447265625,12.488888888888889,26.6,32.7,20.5,14.6,80.2,69.04,63.4,False
5.587162178458897,5.173556923866272,26.455555555555556,41.85,48.5,35.2,25.0,80.2,69.04,63.4,False
5.277372372065876,4.790479004383087,31.011111111111113,46.65,52.8,40.5,29.6,80.2,69.04,63.4,False
5.109286935616892,4.660096883773804,33.833333333333336,48.099999999999994,52.9,43.3,31.1,80.2,69.04,63.4,False
5.013954323234287,4.562560260295868,34.81111111111111,49.05,53.6,44.5,32.7,80.2,69.04,63.4,False
4.342342963455416,3.7461571395397186,46.355555555555554,60.5,65.1,55.9,44.0,80.2,69.04,63.4,False
3.9117638946424984,3.521422564983368,53.48888888888889,65.3,69.3,61.3,49.1,80.2,69.04,63.4,False
3.711123317691451,3.431748628616333,56.955555555555556,66.55,70.0,63.1,52.2,80.2,69.04,63.4,False
3.550337531887893,3.3626847565174103,59.4,67.6,72.8,62.4,52.8,80.2,69.04,63.4,False
3.41924863673271,3.3332199156284332,61.74444444444445,67.2,71.4,63.0,52.9,80.2,69.04,63.4,False
3.3118758303053837,3.2316060066223145,63.9,69.35,73.5,65.2,55.1,80.2,69.04,63.4,False
3.221628528114752,3.215793490409851,65.65555555555555,69.80000000000001,73.9,65.7,56.2,80.2,69.04,63.4,False
3.1237217805064317,3.178510397672653,67.08888888888889,71.15,76.9,65.4,58.2,80.2,69.04,63.4,False
3.052641674981895,3.179163098335266,69.3,70.9,75.9,65.9,57.9,80.2,69.04,63.4,False
2.986645890465865,3.114965468645096,70.05555555555556,71.95,78.0,65.9,60.0,80.2,69.04,63.4,False
2.9360065045931663,3.0777592062950134,71.3,71.9,77.3,66.5,60.3,80.2,69.04,63.4,False
2.858387922564297,3.1097652912139893,73.11111111111111,72.95,78.4,67.5,60.9,80.2,69.04,63.4,False
2.7880012676225485,3.0735226571559906,74.28888888888889,72.1,77.0,67.2,60.0,80.2,69.04,63.4,False
2.731398624731294,3.074556916952133,76.25555555555556,72.75,78.7,66.8,61.0,80.2,69.04,63.4,False
2.6860732795498894,3.0477233827114105,76.96666666666667,71.94999999999999,77.3,66.6,60.3,80.2,69.04,63.4,False
